Code,Title,Description
naturalPerson,Natural person,"A natural person is a human entity, as opposed to a legal person, which may be a private or public organization."
legalPerson,Legal person,"A legal person is a non-human entity, which is authorized by law with duties and rights and is recognized as a legal entity."
